Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Auth Excel,Chrome 115.0.0.0,,,2023-08-13 14:10:16,2023-08-13 14:10:48,31.724s,PASSED
,,,,,,,
Test Cases/Auth Test/Form Auth Excel,Chrome 115.0.0.0,,,2023-08-13 14:10:17,2023-08-13 14:10:28,11.561s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-13 14:10:17,2023-08-13 14:10:20,2.439s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 115.0.0.0,,,2023-08-13 14:10:20,2023-08-13 14:10:24,4.212s,PASSED
"click(findTestObject(""Object Repository/Auth Page/a_Form Authentication""))",Chrome 115.0.0.0,,,2023-08-13 14:10:24,2023-08-13 14:10:25,1.154s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Username_username""), tcUname)",Chrome 115.0.0.0,,,2023-08-13 14:10:25,2023-08-13 14:10:26,0.710s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Password_password""), tcPassword)",Chrome 115.0.0.0,,,2023-08-13 14:10:26,2023-08-13 14:10:26,0.687s,PASSED
"click(findTestObject(""Object Repository/Auth Page/i_Login""))",Chrome 115.0.0.0,,,2023-08-13 14:10:26,2023-08-13 14:10:27,0.990s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Auth Page/h4_Welcome to the Secure Area. When you are_5c73fc""))",Chrome 115.0.0.0,,,2023-08-13 14:10:27,2023-08-13 14:10:28,0.342s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 14:10:28,2023-08-13 14:10:28,0.635s,PASSED
,,,,,,,
Test Cases/Auth Test/Form Auth Excel,Chrome 115.0.0.0,,,2023-08-13 14:10:28,2023-08-13 14:10:38,9.916s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-13 14:10:28,2023-08-13 14:10:29,1.154s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 115.0.0.0,,,2023-08-13 14:10:29,2023-08-13 14:10:34,4.199s,PASSED
"click(findTestObject(""Object Repository/Auth Page/a_Form Authentication""))",Chrome 115.0.0.0,,,2023-08-13 14:10:34,2023-08-13 14:10:35,1.202s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Username_username""), tcUname)",Chrome 115.0.0.0,,,2023-08-13 14:10:35,2023-08-13 14:10:36,0.678s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Password_password""), tcPassword)",Chrome 115.0.0.0,,,2023-08-13 14:10:36,2023-08-13 14:10:36,0.695s,PASSED
"click(findTestObject(""Object Repository/Auth Page/i_Login""))",Chrome 115.0.0.0,,,2023-08-13 14:10:36,2023-08-13 14:10:37,1.023s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Auth Page/h4_Welcome to the Secure Area. When you are_5c73fc""))",Chrome 115.0.0.0,,,2023-08-13 14:10:37,2023-08-13 14:10:38,0.334s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 14:10:38,2023-08-13 14:10:38,0.619s,PASSED
,,,,,,,
Test Cases/Auth Test/Form Auth Excel,Chrome 115.0.0.0,,,2023-08-13 14:10:38,2023-08-13 14:10:48,9.806s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-13 14:10:38,2023-08-13 14:10:39,1.142s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 115.0.0.0,,,2023-08-13 14:10:39,2023-08-13 14:10:44,4.229s,PASSED
"click(findTestObject(""Object Repository/Auth Page/a_Form Authentication""))",Chrome 115.0.0.0,,,2023-08-13 14:10:44,2023-08-13 14:10:45,1.122s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Username_username""), tcUname)",Chrome 115.0.0.0,,,2023-08-13 14:10:45,2023-08-13 14:10:45,0.674s,PASSED
"setText(findTestObject(""Object Repository/Auth Page/input_Password_password""), tcPassword)",Chrome 115.0.0.0,,,2023-08-13 14:10:45,2023-08-13 14:10:46,0.691s,PASSED
"click(findTestObject(""Object Repository/Auth Page/i_Login""))",Chrome 115.0.0.0,,,2023-08-13 14:10:46,2023-08-13 14:10:47,0.985s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Auth Page/h4_Welcome to the Secure Area. When you are_5c73fc""))",Chrome 115.0.0.0,,,2023-08-13 14:10:47,2023-08-13 14:10:47,0.337s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 14:10:47,2023-08-13 14:10:48,0.617s,PASSED
